City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
chokurdakh,0,RU,1551944156,31,70.62,147.9,-29.71,1.26
cape town,75,ZA,1551943971,68,-33.93,18.42,21.67,3.6
qaqortoq,68,GL,1551941400,27,60.72,-46.03,4.0,1.0
ribeira grande,75,PT,1551942000,93,38.52,-28.7,16.0,8.2
atuona,68,PF,1551944161,99,-9.8,-139.03,28.12,8.26
codrington,90,AU,1551943957,88,-28.95,153.24,24.0,7.7
dawlatabad,0,AF,1551944164,49,36.41,64.91,15.57,3.41
talcahuano,90,CL,1551942000,100,-36.72,-73.12,15.0,3.6
mar del plata,76,AR,1551943882,90,-46.43,-67.52,8.11,4.95
longyearbyen,0,NO,1551941400,54,78.22,15.63,-17.0,3.1
kaitangata,92,NZ,1551944148,90,-46.28,169.85,11.67,4.02
angoche,100,MZ,1551944170,100,-16.23,39.91,27.25,3.66
lima,0,PE,1551944104,94,-12.06,-77.04,22.78,3.1
ponta do sol,24,BR,1551944173,96,-20.63,-46.0,17.87,1.31
dhidhdhoo,92,MV,1551944175,100,6.88,73.1,27.87,2.16
kruisfontein,8,ZA,1551944176,78,-34.0,24.73,22.4,6.86
chake chake,8,TZ,1551944178,91,-5.25,39.77,30.07,5.66
tual,48,ID,1551944179,100,-5.67,132.75,29.6,1.51
lompoc,24,US,1551944159,93,34.64,-120.46,11.67,1.5
ocos,5,GT,1551941100,100,14.51,-92.19,23.0,1.01
gurupi,56,BR,1551944183,94,-11.73,-49.07,21.5,1.31
jamestown,0,AU,1551943963,41,-33.21,138.6,18.61,2.45
fairbanks,90,US,1551944161,92,64.84,-147.72,-5.0,1.51
laurel,90,US,1551943954,92,45.67,-108.77,-11.67,1.36
goderich,68,CA,1551944015,62,43.74,-81.71,-6.11,1.34
matay,0,EG,1551944190,51,28.42,30.79,20.4,4.56
yelniki,0,RU,1551944191,89,54.62,43.88,-7.06,2.66
arraial do cabo,36,BR,1551944193,93,-22.97,-42.02,26.2,5.56
clyde river,90,CA,1551942000,83,70.47,-68.59,-20.0,4.6
klaksvik,0,FO,1551943200,64,62.23,-6.59,2.0,4.6
tadine,80,NC,1551944197,95,-21.55,167.88,26.55,6.36
alta floresta,36,BR,1551944198,97,-9.87,-56.08,21.45,0.96
taoudenni,0,ML,1551944200,13,22.68,-3.98,21.5,3.96
ternate,20,PH,1551943986,55,14.29,120.72,32.0,6.2
padang,40,ID,1551942000,70,-0.92,100.36,32.0,2.6
key largo,1,US,1551944060,82,25.09,-80.45,16.11,3.1
puerto ayora,0,EC,1551944205,100,-0.74,-90.35,25.45,2.96
barcelos,40,PT,1551944061,87,41.53,-8.62,10.0,5.7
san luis,0,AR,1551943945,83,-33.3,-66.34,19.71,2.55
new norfolk,0,AU,1551944175,34,-42.78,147.06,20.0,6.7
avarua,68,CK,1551942000,83,-21.21,-159.78,26.0,1.0
geraldton,20,CA,1551942000,70,49.72,-86.95,-21.0,1.5
borgarnes,40,IS,1551943907,73,64.54,-21.92,-3.89,5.56
greencastle,1,US,1551943991,67,39.64,-86.86,-3.33,3.1
bratsk,20,RU,1551943991,49,56.15,101.63,-3.0,5.0
alekseyevka,0,RU,1551942000,62,53.25,50.49,-7.0,7.0
hasaki,90,JP,1551944075,93,35.73,140.83,9.0,1.5
saint george,20,GR,1551944015,71,39.45,22.34,13.0,1.61
khatanga,24,RU,1551944222,69,71.98,102.47,-20.76,2.11
saint-philippe,75,CA,1551944103,71,45.36,-73.48,-14.0,1.31
hereford,56,GB,1551944224,83,52.06,-2.72,6.67,0.45
tezu,0,IN,1551944226,69,27.93,96.16,14.2,0.51
honningsvag,0,NO,1551944228,100,70.98,25.97,-4.16,6.61
bardsir,40,IR,1551942000,53,29.93,56.57,10.0,2.1
comodoro rivadavia,90,AR,1551942000,93,-45.87,-67.48,10.0,3.6
kavieng,80,PG,1551944232,100,-2.57,150.8,27.5,3.76
takoradi,32,GH,1551944233,90,4.89,-1.75,29.62,2.96
denpasar,75,ID,1551942000,94,-8.65,115.22,26.0,7.2
imbituba,20,BR,1551942000,88,-28.24,-48.67,25.0,3.1
bambous virieux,40,MU,1551944044,62,-20.34,57.76,30.0,4.1
cabedelo,40,BR,1551942000,94,-6.97,-34.84,24.0,1.0
araouane,0,ML,1551944240,19,18.9,-3.53,22.6,2.91
chuy,0,UY,1551944241,92,-33.69,-53.46,22.4,4.76
faanui,88,PF,1551944242,96,-16.48,-151.75,29.57,7.86
xining,56,CN,1551944243,25,36.62,101.77,6.72,1.76
nove mesto na morave,0,CZ,1551944224,61,49.56,16.07,9.44,5.1
ipira,88,BR,1551944246,99,-27.41,-51.77,19.15,2.41
imeni poliny osipenko,0,RU,1551944248,77,52.42,136.49,-7.31,1.86
liverpool,75,GB,1551943994,93,53.41,-2.98,7.22,11.8
zilupe,88,RU,1551944250,81,56.39,28.12,1.12,8.21
praya,75,ID,1551942000,100,-8.71,116.27,24.0,4.1
karasjok,20,NO,1551941400,72,69.47,25.52,-8.0,5.7
sangar,76,RU,1551944254,72,63.92,127.47,-13.41,2.46
port augusta,32,AU,1551943868,14,-32.49,137.76,29.0,4.6
pochutla,0,MX,1551943838,82,15.74,-96.47,23.33,2.81
tilichiki,36,RU,1551944259,78,60.47,166.1,-8.43,3.46
la victoria,20,VE,1551944120,78,10.23,-67.33,24.0,1.06
grandola,20,PT,1551943866,100,38.18,-8.57,11.67,2.1
shenjiamen,68,CN,1551944263,89,29.96,122.3,8.62,8.51
beringovskiy,88,RU,1551944264,93,63.05,179.32,-3.76,9.11
namibe,64,AO,1551944266,100,-15.19,12.15,26.32,2.86
chara,20,GR,1551944015,71,39.42,22.43,13.0,1.61
santa catarina,56,BR,1551944268,90,-29.97,-50.14,22.75,2.11
pangnirtung,64,CA,1551944270,83,66.15,-65.72,-21.11,2.56
port hawkesbury,20,CA,1551944155,78,45.62,-61.36,-12.22,3.1
san cristobal,75,EC,1551943832,93,-0.39,-78.55,14.0,1.0
vao,68,EE,1551944274,89,59.1,26.19,-1.76,4.91
homer,40,US,1551944216,74,59.64,-151.54,3.0,3.11
den chai,20,TH,1551942000,27,17.98,100.06,37.0,3.1
petropavlovsk-kamchatskiy,40,RU,1551942000,67,53.05,158.65,-5.0,4.0
arlit,0,NE,1551944280,56,18.74,7.39,22.95,2.11
bara,0,NG,1551944281,23,10.41,10.6,30.85,3.91
port elizabeth,1,US,1551944215,78,39.31,-74.98,-3.89,1.61
beboto,0,TD,1551944284,38,8.27,16.94,33.55,2.01
souillac,64,FR,1551944169,81,45.6,-0.6,8.33,6.2
severo-kurilsk,48,RU,1551944286,100,50.68,156.12,-3.18,8.81
borodino,0,RU,1551944287,91,55.9,94.89,-2.61,1.86
nuuk,36,GL,1551941400,32,64.17,-51.74,3.0,6.2
polyarnyy,0,RU,1551942000,84,69.2,33.45,-16.0,1.0
serov,80,RU,1551944292,58,59.61,60.57,-3.68,5.91
pine bluff,1,US,1551943983,69,34.23,-92.0,2.0,3.1
torbay,90,CA,1551944000,78,47.66,-52.73,-6.67,5.7
hamilton,75,BM,1551943884,62,32.3,-64.78,15.0,9.8
eureka,90,US,1551944036,87,40.8,-124.16,6.67,1.5
hokitika,92,NZ,1551944299,100,-42.72,170.96,16.45,8.96
qaanaaq,76,GL,1551944300,88,77.48,-69.36,-18.63,1.76
pajapan,8,MX,1551944301,97,18.26,-94.69,18.15,3.86
salalah,0,OM,1551941400,61,17.01,54.1,28.0,5.1
bilma,0,NE,1551944304,23,18.69,12.92,21.47,2.66
coquimbo,20,CL,1551942000,93,-29.95,-71.34,15.0,1.5
ayan,0,TR,1551944306,73,40.67,33.6,3.85,1.51
vila,75,IT,1551944304,93,45.18,8.4,10.0,3.1
jieshi,100,CN,1551944309,100,22.82,115.83,15.12,8.86
nioro,0,GM,1551944310,27,13.79,-15.05,21.87,5.81
nishihara,90,JP,1551944167,93,35.74,139.53,10.0,1.5
springbok,20,ZA,1551940080,48,-29.67,17.88,16.0,1.0
mayo,5,CA,1551942000,76,63.59,-135.9,-23.0,1.26
tuktoyaktuk,40,CA,1551938400,77,69.44,-133.03,-16.0,2.1
husavik,0,CA,1551944070,86,50.56,-96.99,-21.67,2.11
moranbah,68,AU,1551944319,79,-22.0,148.04,24.2,3.96
aswan,0,EG,1551938400,41,24.09,32.9,14.0,2.6
sola,75,NO,1551943999,81,58.89,5.65,7.0,6.2
yuncheng,56,CN,1551944322,41,35.03,111.0,10.47,3.11
the valley,75,AI,1551943917,73,18.22,-63.06,25.0,4.1
erenhot,0,CN,1551944325,16,43.65,111.97,9.55,4.11
oni,92,GE,1551944326,93,42.59,43.44,0.62,0.91
bonavista,8,CA,1551943841,83,48.65,-53.11,-8.89,2.24
itarema,92,BR,1551944329,100,-2.92,-39.92,23.35,2.41
mpongwe,68,ZM,1551944331,86,-13.51,28.16,22.45,1.61
saint-georges,44,CA,1551943905,83,46.12,-70.67,-17.78,0.89
katsuura,40,JP,1551943482,53,33.93,134.5,11.11,13.9
balikpapan,20,ID,1551942000,70,-1.24,116.86,30.0,2.1
tateyama,75,JP,1551944283,81,36.66,137.31,6.67,1.5
hay river,20,CA,1551942000,72,60.82,-115.79,-12.0,2.1
cabo san lucas,36,MX,1551944142,77,22.89,-109.91,19.44,4.16
bredasdorp,92,ZA,1551943901,60,-34.53,20.04,24.0,4.1
vanino,0,RU,1551944155,40,53.93,40.55,-2.78,1.34
dikson,88,RU,1551944343,91,73.51,80.55,-13.88,12.26
san patricio,32,PY,1551944345,79,-26.98,-56.83,23.75,2.26
bikapur,0,IN,1551944346,62,26.66,82.14,24.9,5.36
charters towers,56,AU,1551944348,61,-20.07,146.27,28.47,2.76
port blair,0,IN,1551944165,100,11.67,92.75,27.6,1.46
ziro,40,IN,1551942000,64,27.54,93.82,22.0,4.1
yashkul,76,RU,1551944352,77,46.17,45.34,10.32,4.21
tiksi,80,RU,1551944353,81,71.64,128.87,-10.71,2.21
rio grande,0,BR,1551944354,95,-32.03,-52.1,22.15,3.41
mareeba,76,AU,1551944006,66,-16.99,145.42,29.0,6.2
puerto concordia,32,CO,1551944357,91,2.62,-72.76,23.1,0.66
netarhat,0,IN,1551944358,33,23.45,84.31,25.7,3.16
luderitz,0,NA,1551944360,92,-26.65,15.16,18.6,5.16
mildura,0,AU,1551943830,14,-34.18,142.16,26.67,3.1
nanortalik,80,GL,1551944362,94,60.14,-45.24,-1.01,6.71
salta,0,AR,1551942000,88,-24.79,-65.41,22.0,1.0
ulladulla,40,AU,1551943901,49,-35.36,150.48,20.0,4.1
tessalit,0,ML,1551944366,17,20.2,1.01,23.82,2.46
puerto narino,40,CO,1551942000,100,-3.77,-70.38,25.0,2.6
yamada,75,JP,1551944283,81,36.58,137.08,6.67,1.5
lorengau,92,PG,1551944370,96,-2.02,147.27,29.2,0.96
beisfjord,0,NO,1551944371,92,68.38,17.6,-3.89,1.0
ugra,56,RU,1551944373,81,54.78,34.32,-2.93,5.66
gerede,0,TR,1551944374,64,40.8,32.2,4.35,1.56
teknaf,80,BD,1551944376,87,20.86,92.31,24.95,1.36
esperance,20,TT,1551944106,94,10.24,-61.45,23.0,2.51
kabanjahe,40,ID,1551942000,66,3.1,98.49,31.0,5.1
lora del rio,0,ES,1551944344,100,37.66,-5.53,8.33,1.5
victoria,75,BN,1551942000,70,5.28,115.24,31.0,3.6
banamba,0,ML,1551944383,24,13.55,-7.45,25.07,4.06
pauini,36,BR,1551944384,97,-7.71,-67.0,23.25,1.21
napoleon,36,US,1551942900,70,46.5,-99.77,-20.0,1.5
aldan,76,RU,1551944387,73,58.61,125.39,-3.91,2.51
ilulissat,36,GL,1551941400,73,69.22,-51.1,-7.0,2.6
san rafael,0,AR,1551944390,41,-34.61,-68.33,11.25,1.41
caravelas,20,BR,1551944391,100,-17.73,-39.27,28.55,3.36
port macquarie,90,AU,1551944045,88,-31.43,152.91,21.0,2.6
kapaa,75,US,1551944304,64,22.08,-159.32,22.0,9.3
lavrentiya,20,RU,1551944395,100,65.58,-170.99,-11.43,6.41
kidal,12,ML,1551944397,17,18.44,1.41,22.4,2.11
ambilobe,88,MG,1551944398,100,-13.19,49.05,25.45,1.96
brattleboro,1,US,1551944208,65,42.85,-72.56,-12.78,1.5
swinoujscie,75,PL,1551944259,81,53.91,14.25,8.33,5.7
ancud,90,CL,1551942000,93,-41.87,-73.83,11.0,3.1
norman wells,5,CA,1551942000,76,65.28,-126.83,-24.0,2.1
tiarei,75,PF,1551943986,78,-17.53,-149.33,27.0,2.6
monterey,90,US,1551944330,87,36.6,-121.89,12.22,2.6
iranshahr,75,IR,1551942000,27,27.21,60.69,23.0,5.1
los llanos de aridane,40,ES,1551942000,72,28.66,-17.92,17.0,8.2
kauhajoki,90,FI,1551944359,92,62.43,22.18,-3.33,2.1
svetlogorsk,90,RU,1551942000,74,53.14,59.15,2.0,8.0
santiago del estero,88,AR,1551944413,91,-27.8,-64.26,22.9,1.31
songjianghe,0,CN,1551944414,61,42.18,127.48,-0.11,2.31
cockburn town,0,TC,1551944288,99,21.46,-71.14,25.25,5.16
san andres,64,PH,1551944417,100,13.32,122.68,27.32,2.11
high level,1,CA,1551942000,83,58.52,-117.13,-21.0,1.0
biak,24,ID,1551944420,69,-0.91,122.88,31.2,1.31
den helder,75,NL,1551944407,93,52.96,4.76,8.33,8.7
mehamn,90,NO,1551939660,79,71.03,27.85,-4.0,10.8
dingle,0,PH,1551944424,36,11.0,122.67,31.3,6.11
charagua,92,BO,1551944425,91,-19.79,-63.2,24.05,9.06
polunochnoye,76,RU,1551944427,76,60.87,60.43,-5.88,8.06
makakilo city,90,US,1551944159,77,21.35,-158.09,22.0,3.6
narsaq,80,GL,1551941400,27,60.91,-46.05,4.0,1.0
tuatapere,92,NZ,1551944406,95,-46.13,167.69,10.56,1.34
sorland,20,NO,1551943200,79,67.67,12.69,-3.0,0.5
sept-iles,90,CA,1551943920,45,50.2,-66.38,-16.67,4.6
shelburne,90,CA,1551944164,92,44.08,-80.2,-11.0,1.0
nabinagar,20,BD,1551942000,58,23.88,90.97,29.0,1.5
roald,0,NO,1551944404,74,62.58,6.12,1.67,10.3
papar,75,MY,1551944416,70,5.73,115.93,32.0,3.1
gunupur,0,IN,1551944441,45,19.07,83.81,31.25,1.11
cao bang,92,VN,1551944167,100,22.67,106.25,14.32,1.61
lerwick,75,GB,1551941400,86,60.15,-1.15,5.0,13.9
gananoque,90,CA,1551944403,55,44.33,-76.16,-13.33,2.6
moree,40,AU,1551943880,48,-29.46,149.84,29.0,11.8
georgetown,20,GY,1551938400,94,6.8,-58.16,24.0,2.1
shieli,0,KZ,1551944449,68,44.18,66.74,8.95,3.26
katangli,48,RU,1551944450,92,51.71,143.23,-6.13,5.01
omsukchan,44,RU,1551944451,80,62.53,155.8,-23.53,1.16
novoselytsya,0,UA,1551944427,93,48.22,26.27,7.78,4.0
sorong,92,ID,1551944454,100,-0.86,131.25,26.9,3.71
mataram,44,ID,1551944456,78,-5.32,105.06,29.1,1.11
dulce grande,5,MX,1551941340,30,23.0,-102.17,14.0,1.71
watsa,76,CD,1551944458,84,3.04,29.53,26.47,1.86
massaguet,0,TD,1551942000,14,12.48,15.44,26.0,5.1
champerico,32,MX,1551944461,86,16.38,-93.6,17.07,1.81
buraydah,0,SA,1551942000,59,26.33,43.97,17.0,2.1
hammerfest,20,NO,1551941400,57,70.66,23.68,-6.0,9.3
sao filipe,0,CV,1551944465,97,14.9,-24.5,21.0,8.71
vrangel,0,RU,1551944466,84,42.73,133.08,3.5,6.26
wanning,0,AT,1551944430,80,48.64,13.53,12.22,1.5
ulkan,68,RU,1551944469,56,57.24,107.32,-2.96,2.66
bondoukou,0,CI,1551944470,65,8.04,-2.8,28.65,2.41
uglekamensk,0,RU,1551944472,28,43.22,133.23,-0.26,2.76
kuching,75,MY,1551942000,62,1.56,110.34,32.0,2.1
kiama,40,AU,1551944406,49,-34.67,150.86,20.56,4.1
flin flon,0,CA,1551944476,65,54.77,-101.88,-18.18,1.76
saskylakh,48,RU,1551944477,76,71.97,114.09,-22.01,4.81
sur,0,OM,1551944478,86,22.57,59.53,24.37,2.76
fonte boa,44,BR,1551944480,85,-2.51,-66.09,25.8,2.56
xiongzhou,20,CN,1551942000,30,32.34,118.83,12.0,4.0
vanavara,68,RU,1551944482,56,60.35,102.28,-7.91,2.96
srednekolymsk,0,RU,1551944483,77,67.46,153.71,-22.21,1.76
pisco,20,PE,1551942000,94,-13.71,-76.2,23.0,3.6
omboue,56,GA,1551944486,99,-1.57,9.26,28.87,4.36
boguchar,0,RU,1551944487,100,49.93,40.55,-3.86,2.46
kahului,75,US,1551944476,77,20.89,-156.47,21.0,7.7
port hardy,75,CA,1551942000,88,50.7,-127.42,0.0,2.6
shakawe,0,BW,1551944491,50,-18.36,21.84,29.57,5.36
fare,92,PF,1551944493,95,-16.7,-151.02,29.5,7.71
xichang,88,CN,1551944375,41,27.88,102.25,15.56,0.45
yabelo,0,ET,1551944496,25,4.89,38.09,32.6,2.86
mumford,24,GH,1551944497,84,5.26,-0.76,29.65,3.41
huarmey,12,PE,1551944498,82,-10.07,-78.15,18.6,1.01
hambantota,40,LK,1551942600,75,6.12,81.12,32.0,4.1
moron,76,VE,1551944501,95,10.49,-68.2,19.57,1.61
belaya gora,0,RU,1551944503,38,68.54,146.19,-31.86,1.21
pevek,44,RU,1551944504,80,69.7,170.27,-22.46,1.01
zonguldak,0,TR,1551941400,81,41.25,31.83,9.0,1.0
cavalcante,36,BR,1551944507,92,-13.79,-47.46,18.47,1.21
villaviciosa,20,ES,1551944506,65,43.48,-5.43,11.67,3.6
emba,40,CY,1551943812,77,34.81,32.42,17.0,6.2
verkhnyaya inta,48,RU,1551944511,65,65.99,60.32,-9.88,2.41
black river,20,JM,1551943872,78,18.03,-77.85,27.0,4.1
yuanping,0,CN,1551944514,35,38.72,112.71,6.4,1.26
bowen,40,AU,1551944512,83,-20.01,148.25,27.78,4.6
leningradskiy,80,RU,1551944517,94,69.38,178.42,-15.11,0.51
aksu,0,KZ,1551942000,74,52.04,76.93,1.0,4.0
carutapera,88,BR,1551944519,100,-1.2,-46.02,24.0,2.06
portland,75,US,1551944503,100,45.52,-122.67,2.22,2.1
north platte,90,US,1551944447,85,41.12,-100.77,-5.0,4.1
palmer,0,AU,1551944515,33,-34.85,139.16,26.11,3.1
shepsi,24,RU,1551944525,93,44.04,39.15,9.72,9.31
yangliuqing,0,CN,1551942000,12,39.14,117.0,13.0,4.0
praia,0,BR,1551942000,83,-20.25,-43.81,21.0,2.6
capreol,40,CA,1551942000,83,46.71,-80.92,-21.0,2.6
auki,48,NG,1551944530,25,12.18,6.51,29.45,4.81
nokaneng,0,BW,1551944531,42,-19.66,22.19,30.6,6.26
deputatskiy,0,RU,1551944533,58,69.3,139.9,-29.76,1.21
otradnoye,75,RU,1551944481,73,59.77,30.8,-2.78,4.0
khandyga,88,RU,1551944536,84,62.65,135.58,-17.91,1.16
khorlovo,0,RU,1551942000,48,55.33,38.81,-6.0,4.0
west des moines,20,US,1551944342,78,41.56,-93.76,-6.0,3.6
yangambi,68,CD,1551944540,85,0.77,24.47,25.75,1.76
anadyr,75,RU,1551942000,78,64.73,177.51,-9.0,2.0
teahupoo,75,PF,1551943986,78,-17.83,-149.27,27.0,2.6
preobrazheniye,0,RU,1551944544,37,42.9,133.91,-0.81,2.31
umm kaddadah,0,SD,1551944545,26,13.6,26.69,23.55,7.36
miandrivazo,24,MG,1551944546,90,-19.53,45.46,26.85,1.76
constitucion,0,MX,1551944415,35,23.99,-104.67,14.44,3.58
la ronge,5,CA,1551942000,77,55.1,-105.3,-17.0,2.1
fortuna,0,ES,1551944549,65,38.18,-1.13,14.44,2.1
peterhead,0,AU,1551944515,33,-34.83,138.5,26.11,3.1
coria,8,ES,1551944553,100,39.98,-6.54,4.57,1.81
cristalina,44,BR,1551944555,98,-16.77,-47.61,17.97,2.11
kenai,90,US,1551944524,86,60.55,-151.26,-0.57,4.1
sao felix do xingu,80,BR,1551944334,100,-6.64,-51.99,21.7,0.96
ust-nera,44,RU,1551944559,63,64.57,143.24,-31.28,0.66
crateus,76,BR,1551944560,97,-5.18,-40.68,20.75,2.31
tawang,0,BT,1551944561,39,27.59,91.87,6.22,0.81
lysva,64,RU,1551944563,85,58.11,57.8,-7.36,8.71
wodonga,0,AU,1551944424,17,-36.12,146.89,25.0,3.1
redlands,90,US,1551944562,82,34.06,-117.19,15.0,1.01
armidale,88,AU,1551943813,73,-30.51,151.67,13.33,4.02
kirovskiy,0,RU,1551944568,44,45.09,133.51,-0.76,2.41
vardo,90,US,1551944566,53,39.62,-77.74,-6.0,1.5
alihe,0,CN,1551944571,48,50.57,123.73,1.22,1.66
emiliano zapata,20,MX,1551944434,93,24.06,-106.92,15.56,0.45
maromitsa,68,RU,1551944574,64,59.87,48.01,-7.63,5.01
isangel,56,VU,1551944575,98,-19.55,169.27,28.07,5.61
hualmay,56,PE,1551944576,90,-11.1,-77.61,20.47,1.21
albanel,20,CA,1551944225,50,48.88,-72.44,-22.78,1.96
quatre cocos,40,MU,1551944344,62,-20.21,57.76,30.0,4.1
ossora,88,RU,1551944580,83,59.24,163.07,-4.53,6.06
villacarrillo,92,ES,1551944582,100,38.12,-3.08,4.9,2.31
berlevag,75,NO,1551941400,78,70.86,29.09,-4.0,5.1
dzhebariki-khaya,88,RU,1551944584,84,62.22,135.8,-17.91,1.16
nouadhibou,12,MR,1551942000,82,20.93,-17.03,16.0,10.8
samarai,76,PG,1551944587,100,-10.62,150.67,27.75,1.66
bambanglipuro,92,ID,1551944588,88,-7.95,110.28,25.22,1.11
tamiahua,68,MX,1551944590,100,21.28,-97.45,16.95,3.66
xuddur,0,SO,1551944591,34,4.12,43.89,32.37,6.26
caraquet,1,CA,1551944457,65,47.79,-64.94,-15.0,5.1
gainesville,40,US,1551944270,81,29.65,-82.33,3.33,1.11
aklavik,20,CA,1551942000,65,68.22,-135.01,-13.0,3.1
mopti,0,ML,1551944596,33,14.49,-4.19,25.85,3.91
santa cruz del sur,48,CU,1551944598,96,20.71,-78.0,21.32,5.21
vestmanna,0,FO,1551943200,64,62.16,-7.17,2.0,4.6
guerrero negro,88,MX,1551944600,95,27.97,-114.04,12.45,3.01
bilibino,68,RU,1551944602,79,68.06,166.44,-19.13,1.01
corrente,32,BR,1551944603,90,-17.45,-44.68,20.4,3.61
yarada,40,IN,1551942000,59,17.65,83.27,33.0,4.1
korem,0,ET,1551944606,38,12.51,39.52,26.25,0.76
